0,Arctic/Longyearbyen,+0100
1,Europe/Oslo,+0100
2,Europe/Stockholm,+0100
3,Europe/Helsinki,+0200
4,Asia/Singapore,+0800
5,Europe/Mariehamn,+0200
6,Europe/London,+0000
7,Antarctica/Rothera,-0300
8,Europe/Isle_of_Man,+0000
9,Europe/Guernsey,+0000
10,Europe/Jersey,+0000
11,Europe/Dublin,+0000
12,Atlantic/Reykjavik,+0000
13,America/Thule,-0400
14,America/Godthab,-0300
15,America/Danmarkshavn,+0000
16,America/Scoresbysund,-0100
17,Atlantic/Faroe,+0000
18,Europe/Copenhagen,+0100
19,Europe/Amsterdam,+0100
20,Europe/Brussels,+0100
21,Europe/Luxembourg,+0100
22,Europe/Berlin,+0100
23,Europe/Zurich,+0100
24,Europe/Vaduz,+0100
25,Europe/Paris,+0100
26,Atlantic/Madeira,+0000
27,Europe/Madrid,+0100
28,Europe/Gibraltar,+0100
29,Atlantic/Azores,-0100
30,Europe/Lisbon,+0000
31,Atlantic/Cape_Verde,-0100
32,Europe/Vienna,+0100
33,Europe/Prague,+0100
34,Pacific/Enderbury,+1300
35,Europe/Bratislava,+0100
36,Europe/Warsaw,+0100
37,Europe/Budapest,+0100
38,Europe/Ljubljana,+0100
39,Europe/Belgrade,+0100
40,Europe/Zagreb,+0100
41,Europe/Sarajevo,+0100
42,Europe/Podgorica,+0100
43,Europe/Skopje,+0100
44,Europe/Tirane,+0100
45,Europe/Bucharest,+0200
46,Europe/Sofia,+0200
47,Europe/Rome,+0100
48,Europe/Malta,+0100
49,Europe/Athens,+0200
50,Europe/Istanbul,+0300
51,Asia/Famagusta,+0200
52,Asia/Nicosia,+0200
53,Europe/Moscow,+0300
54,Asia/Krasnoyarsk,+0700
55,Asia/Yekaterinburg,+0500
56,Asia/Vladivostok,+1000
57,Asia/Yakutsk,+0900
58,Asia/Srednekolymsk,+1100
59,Asia/Anadyr,+1200
60,Asia/Tomsk,+0700
61,Asia/Khandyga,+0900
62,Asia/Magadan,+1100
63,Asia/Irkutsk,+0800
64,Asia/Kamchatka,+1200
65,Europe/Tallinn,+0200
66,Europe/Minsk,+0300
67,Europe/Riga,+0200
68,Europe/Vilnius,+0200
69,Africa/Bujumbura,+0200
70,Europe/Kaliningrad,+0200
71,Europe/Kirov,+0300
72,Europe/Ulyanovsk,+0400
73,Europe/Samara,+0400
74,Asia/Omsk,+0600
75,Asia/Almaty,+0600
76,Asia/Qostanay,+0600
77,Asia/Novosibirsk,+0700
78,Asia/Novokuznetsk,+0700
79,Asia/Barnaul,+0700
80,Asia/Chita,+0900
81,Asia/Shanghai,+0800
82,Asia/Sakhalin,+1100
83,Asia/Ust-Nera,+1000
84,Europe/Kiev,+0200
85,Europe/Uzhgorod,+0200
86,Europe/Chisinau,+0200
87,Europe/Simferopol,+0300
88,Europe/Saratov,+0400
89,Europe/Volgograd,+0400
90,Asia/Oral,+0500
91,Europe/Astrakhan,+0400
92,Europe/Zaporozhye,+0200
93,Asia/Atyrau,+0500
94,Asia/Aqtobe,+0500
95,Asia/Yerevan,+0400
96,Asia/Qyzylorda,+0500
97,Asia/Aqtau,+0500
98,Asia/Bishkek,+0600
99,Asia/Tbilisi,+0400
100,Asia/Baku,+0400
101,Asia/Samarkand,+0500
102,Asia/Ashgabat,+0500
103,Asia/Dushanbe,+0500
104,Asia/Tashkent,+0500
105,Asia/Damascus,+0200
106,Asia/Beirut,+0200
107,Asia/Jerusalem,+0200
108,Asia/Hebron,+0200
109,Asia/Amman,+0200
110,Asia/Riyadh,+0300
111,Asia/Bahrain,+0300
112,Asia/Qatar,+0300
113,Asia/Dubai,+0400
114,Asia/Kuwait,+0300
115,Asia/Muscat,+0400
116,Asia/Aden,+0300
117,Asia/Baghdad,+0300
118,Asia/Tehran,+0330
119,Asia/Kabul,+0430
120,Asia/Karachi,+0500
121,Asia/Dhaka,+0600
122,Asia/Kolkata,+0530
123,Asia/Colombo,+0530
124,Indian/Maldives,+0500
125,Asia/Ulaanbaatar,+0800
126,Asia/Hovd,+0700
127,Asia/Choibalsan,+0800
128,Asia/Hong_Kong,+0800
129,Asia/Macau,+0800
130,Asia/Taipei,+0800
131,Asia/Pyongyang,+0900
132,Asia/Seoul,+0900
133,Asia/Tokyo,+0900
134,Asia/Yangon,+0630
135,Asia/Bangkok,+0700
136,Asia/Phnom_Penh,+0700
137,Asia/Kuala_Lumpur,+0800
138,Asia/Ho_Chi_Minh,+0700
139,Asia/Vientiane,+0700
140,America/Santiago,-0300
141,Atlantic/Canary,+0000
142,Africa/El_Aaiun,+0100
143,Africa/Casablanca,+0100
144,Australia/Brisbane,+1000
145,Africa/Ceuta,+0100
146,Africa/Algiers,+0100
147,Africa/Tunis,+0100
148,Africa/Niamey,+0100
149,Africa/Blantyre,+0200
150,Africa/Bamako,+0000
151,Africa/Nouakchott,+0000
152,Africa/Dakar,+0000
153,Africa/Banjul,+0000
154,Africa/Conakry,+0000
155,Atlantic/St_Helena,+0000
156,Indian/Mauritius,+0400
157,Indian/Reunion,+0400
158,Africa/Tripoli,+0200
159,Africa/Cairo,+0200
160,Africa/Khartoum,+0200
161,Africa/Juba,+0300
162,Africa/Djibouti,+0300
163,Africa/Nairobi,+0300
164,Africa/Addis_Ababa,+0300
165,Africa/Kampala,+0300
166,Africa/Dar_es_Salaam,+0300
167,Indian/Mahe,+0400
168,Africa/Kinshasa,+0100
169,Africa/Brazzaville,+0100
170,Africa/Libreville,+0100
171,Africa/Bangui,+0100
172,Africa/Ndjamena,+0100
173,Africa/Douala,+0100
174,Africa/Porto-Novo,+0100
175,Africa/Lome,+0000
176,Africa/Accra,+0000
177,Africa/Ouagadougou,+0000
178,Africa/Abidjan,+0000
179,Africa/Monrovia,+0000
180,Africa/Luanda,+0100
181,Indian/Mayotte,+0300
182,Indian/Antananarivo,+0300
183,Africa/Maputo,+0200
184,Africa/Lusaka,+0200
185,Africa/Harare,+0200
186,Africa/Windhoek,+0200
187,Africa/Gaborone,+0200
188,Africa/Johannesburg,+0200
189,Africa/Mbabane,+0200
190,America/Denver,-0700
191,America/Adak,-1000
192,America/Los_Angeles,-0800
193,America/Chicago,-0600
194,America/New_York,-0500
195,America/Phoenix,-0700
196,America/Anchorage,-0900
197,America/Nome,-0900
198,Pacific/Palau,+0900
199,America/Yakutat,-0900
200,America/Juneau,-0900
201,America/Sitka,-0900
202,America/Metlakatla,-0900
203,America/Edmonton,-0700
204,America/Dawson_Creek,-0700
205,America/Goose_Bay,-0400
206,America/Yellowknife,-0700
207,America/Whitehorse,-0800
208,America/Toronto,-0500
209,America/Regina,-0600
210,America/Winnipeg,-0600
211,America/Iqaluit,-0500
212,America/Rankin_Inlet,-0600
213,America/Pangnirtung,-0500
214,America/Vancouver,-0800
215,Indian/Comoro,+0300
216,America/St_Johns,-0330
217,America/Halifax,-0400
218,America/Cambridge_Bay,-0700
219,America/Moncton,-0400
220,America/Glace_Bay,-0400
221,America/Thunder_Bay,-0500
222,America/Miquelon,-0300
223,America/Blanc-Sablon,-0400
224,America/Atikokan,-0500
225,America/Resolute,-0600
226,America/Fort_Nelson,-0700
227,America/Inuvik,-0700
228,America/Detroit,-0500
229,America/Indiana/Indianapolis,-0500
230,America/Boise,-0700
231,America/Kentucky/Louisville,-0500
232,America/Indiana/Vincennes,-0500
233,America/Menominee,-0600
234,America/Panama,-0500
235,Atlantic/Bermuda,-0400
236,Pacific/Saipan,+1000
237,Pacific/Efate,+1100
238,America/Tijuana,-0800
239,America/Hermosillo,-0700
240,America/Ojinaga,-0700
241,America/Mexico_City,-0600
242,America/Chihuahua,-0700
243,America/Matamoros,-0600
244,America/Mazatlan,-0700
245,America/Monterrey,-0600
246,America/Cancun,-0500
247,America/Merida,-0600
248,America/Nassau,-0500
249,America/Havana,-0500
250,America/Cayman,-0500
251,America/Jamaica,-0500
252,America/Port-au-Prince,-0500
253,America/Santo_Domingo,-0400
254,America/Puerto_Rico,-0400
255,America/St_Thomas,-0400
256,America/Belize,-0600
257,America/Guatemala,-0600
258,America/El_Salvador,-0600
259,America/Tegucigalpa,-0600
260,America/Managua,-0600
261,America/Costa_Rica,-0600
262,America/St_Kitts,-0400
263,America/Antigua,-0400
264,America/Lower_Princes,-0400
265,America/Guadeloupe,-0400
266,America/Dominica,-0400
267,America/Martinique,-0400
268,America/St_Lucia,-0400
269,America/St_Vincent,-0400
270,America/Barbados,-0400
271,America/Grenada,-0400
272,America/Port_of_Spain,-0400
273,America/Aruba,-0400
274,America/Curacao,-0400
275,America/Kralendijk,-0400
276,America/Bogota,-0500
277,America/Caracas,-0400
278,America/Guyana,-0400
279,America/Paramaribo,-0300
280,America/Cayenne,-0300
281,America/Boa_Vista,-0400
282,America/Belem,-0300
283,America/Manaus,-0400
284,America/Santarem,-0300
285,America/Fortaleza,-0300
286,America/Noronha,-0200
287,America/Sao_Paulo,-0300
288,America/Rio_Branco,-0500
289,America/Porto_Velho,-0400
290,America/Recife,-0300
291,America/Maceio,-0300
292,America/Bahia,-0300
293,America/Cuiaba,-0400
294,America/Campo_Grande,-0400
295,Pacific/Galapagos,-0600
296,America/Guayaquil,-0500
297,America/Lima,-0500
298,America/La_Paz,-0400
299,Pacific/Easter,-0500
300,America/Punta_Arenas,-0300
301,America/Asuncion,-0300
302,America/Montevideo,-0300
303,America/Argentina/Jujuy,-0300
304,America/Argentina/Salta,-0300
305,America/Argentina/Cordoba,-0300
306,America/Argentina/Tucuman,-0300
307,America/Argentina/La_Rioja,-0300
308,America/Argentina/Catamarca,-0300
309,America/Argentina/San_Juan,-0300
310,America/Argentina/Mendoza,-0300
311,America/Argentina/San_Luis,-0300
312,America/Argentina/Buenos_Aires,-0300
313,America/Argentina/Rio_Gallegos,-0300
314,America/Argentina/Ushuaia,-0300
315,Atlantic/Stanley,-0300
316,Atlantic/South_Georgia,-0200
317,Etc/UTC,+0000
318,Antarctica/Syowa,+0300
319,Antarctica/Mawson,+0500
320,Antarctica/Davis,+0700
321,Antarctica/Casey,+0800
322,Pacific/Midway,-1100
323,Pacific/Honolulu,-1000
324,Pacific/Guam,+1000
325,Pacific/Wake,+1200
326,Pacific/Majuro,+1200
327,Pacific/Chuuk,+1000
328,Pacific/Pohnpei,+1100
329,Pacific/Kwajalein,+1200
330,Pacific/Kiritimati,+1400
331,Pacific/Guadalcanal,+1100
332,Pacific/Noumea,+1100
333,Pacific/Tarawa,+1200
334,Pacific/Funafuti,+1200
335,Pacific/Fiji,+1200
336,Pacific/Wallis,+1200
337,Pacific/Apia,+1400
338,Pacific/Tongatapu,+1300
339,Pacific/Rarotonga,-1000
340,Pacific/Niue,-1100
341,Pacific/Marquesas,-0930
342,Pacific/Tahiti,-1000
343,Pacific/Gambier,-0900
344,Pacific/Port_Moresby,+1000
345,Pacific/Auckland,+1300
346,Pacific/Chatham,+1345
347,Australia/Darwin,+0930
348,Australia/Perth,+0800
349,Australia/Adelaide,+1030
350,Australia/Sydney,+1100
351,Australia/Melbourne,+1100
352,Australia/Currie,+1100
353,Australia/Hobart,+1100
354,Australia/Lord_Howe,+1100
355,Pacific/Norfolk,+1200
356,Antarctica/Macquarie,+1100
357,Asia/Kuching,+0800
358,Asia/Jakarta,+0700
359,Asia/Brunei,+0800
360,Asia/Pontianak,+0700
361,Asia/Makassar,+0800
362,Indian/Christmas,+0700
363,Indian/Cocos,+0630
364,Asia/Jayapura,+0900
365,Asia/Manila,+0800
